================================================================================
ROBERTA EMOTION CHATBOT - TEST SET EVALUATION
================================================================================

Overall Metrics:
--------------------------------------------------------------------------------
Exact Match Accuracy: 0.6639
Hamming Accuracy: 0.9821

F1 Scores:
  Micro:    0.7063
  Macro:    0.5369
  Weighted: 0.7043

Precision:
  Micro:    0.7083
  Macro:    0.5548
  Weighted: 0.7072

Recall:
  Micro:    0.7043
  Macro:    0.5276
  Weighted: 0.7043

Per-Class Metrics:
--------------------------------------------------------------------------------
Emotion                      F1    Precision     Recall
--------------------------------------------------------------------------------
1 star                   0.6503       0.6955     0.6106
2 stars                  0.4868       0.4386     0.5469
3 stars                  0.4371       0.4171     0.4591
4 stars                  0.4483       0.4638     0.4339
5 stars                  0.5667       0.6267     0.5171
admiration               0.6569       0.6403     0.6745
amusement                0.7867       0.7558     0.8203
anger                    0.7308       0.7412     0.7207
annoyance                0.2848       0.2724     0.2985
approval                 0.3377       0.3795     0.3042
caring                   0.3476       0.3348     0.3615
confusion                0.4133       0.4794     0.3633
curiosity                0.4739       0.4428     0.5098
desire                   0.5083       0.4919     0.5259
disappointment           0.2826       0.2863     0.2790
disapproval              0.3737       0.3880     0.3604
disgust                  0.4495       0.4539     0.4452
embarrassment            0.5243       0.6136     0.4576
excitement               0.3247       0.3729     0.2876
fear                     0.8153       0.8205     0.8101
gratitude                0.9077       0.9165     0.8990
grief                    0.0000       0.0000     0.0000
joy                      0.8094       0.8250     0.7944
love                     0.7845       0.7249     0.8549
negative                 0.8672       0.8337     0.9035
nervousness              0.2791       0.3750     0.2222
neutral                  0.6170       0.6132     0.6208
optimism                 0.5201       0.5435     0.4986
positive                 0.8586       0.8933     0.8264
pride                    0.5455       0.6000     0.5000
realization              0.2235       0.2532     0.2000
relief                   0.3636       0.5714     0.2667
remorse                  0.6636       0.6348     0.6952
sadness                  0.8300       0.8341     0.8259
surprise                 0.6232       0.6834     0.5728
