================================================================================
ROBERTA EMOTION CHATBOT - TEST SET EVALUATION
================================================================================

Overall Metrics:
--------------------------------------------------------------------------------
Exact Match Accuracy: 0.6686
Hamming Accuracy: 0.9828

F1 Scores:
  Micro:    0.7116
  Macro:    0.5171
  Weighted: 0.7028

Precision:
  Micro:    0.7289
  Macro:    0.5900
  Weighted: 0.7181

Recall:
  Micro:    0.6951
  Macro:    0.4869
  Weighted: 0.6951

Per-Class Metrics:
--------------------------------------------------------------------------------
Emotion                      F1    Precision     Recall
--------------------------------------------------------------------------------
1 star                   0.6761       0.6429     0.7129
2 stars                  0.4806       0.4769     0.4844
3 stars                  0.4359       0.4286     0.4434
4 stars                  0.4656       0.4508     0.4814
5 stars                  0.5225       0.5980     0.4639
admiration               0.6649       0.6671     0.6628
amusement                0.7762       0.7854     0.7673
anger                    0.7263       0.7511     0.7030
annoyance                0.3248       0.3255     0.3241
approval                 0.3119       0.3972     0.2568
caring                   0.3419       0.4348     0.2817
confusion                0.4077       0.4524     0.3711
curiosity                0.4017       0.4781     0.3463
desire                   0.4824       0.5783     0.4138
disappointment           0.2380       0.3500     0.1803
disapproval              0.3328       0.4362     0.2690
disgust                  0.4257       0.5638     0.3419
embarrassment            0.4565       0.6364     0.3559
excitement               0.3071       0.4205     0.2418
fear                     0.8126       0.8738     0.7595
gratitude                0.9117       0.9188     0.9048
grief                    0.0000       0.0000     0.0000
joy                      0.8185       0.8395     0.7985
love                     0.7727       0.7511     0.7956
negative                 0.8678       0.8481     0.8885
nervousness              0.1538       0.2500     0.1111
neutral                  0.6268       0.5973     0.6595
optimism                 0.5111       0.5510     0.4766
positive                 0.8631       0.8787     0.8480
pride                    0.5517       0.7273     0.4444
realization              0.2518       0.4487     0.1750
relief                   0.1250       1.0000     0.0667
remorse                  0.6010       0.6224     0.5810
sadness                  0.8315       0.8535     0.8106
surprise                 0.6194       0.6174     0.6214
